anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,probe_asn
0,0,0,8,2025-03-06,8,51020
0,0,0,5,2025-03-06,5,199739
0,0,0,2,2025-03-06,2,209193
0,0,0,11,2025-03-07,11,51020
0,0,0,3,2025-03-07,3,51684
0,0,0,4,2025-03-07,4,59588
0,0,0,4,2025-03-07,4,198589
0,0,0,3,2025-03-07,3,199739
0,0,0,2,2025-03-07,2,209193
0,0,0,5,2025-03-08,5,51020
0,0,0,6,2025-03-08,6,198589
0,0,0,12,2025-03-08,12,199739
0,0,0,1,2025-03-08,1,205254
0,0,0,2,2025-03-08,2,209193
0,0,0,4,2025-03-09,4,51020
0,0,0,8,2025-03-09,8,59588
0,0,0,3,2025-03-09,3,198589
0,0,0,4,2025-03-09,4,199739
0,0,0,2,2025-03-09,2,203214
0,0,0,2,2025-03-09,2,209193
0,0,0,1,2025-03-10,1,50710
0,0,0,6,2025-03-10,6,51020
0,0,0,1,2025-03-10,1,59588
0,0,0,7,2025-03-10,7,199739
0,0,0,1,2025-03-10,1,205254
0,0,0,7,2025-03-10,7,209193
0,0,0,3,2025-03-10,3,210022
0,0,0,4,2025-03-11,4,51020
1,0,0,3,2025-03-11,2,59588
0,0,0,6,2025-03-11,6,199739
1,0,0,1,2025-03-11,0,205254
0,0,0,10,2025-03-11,10,209193
0,0,0,2,2025-03-11,2,210022
0,0,0,5,2025-03-12,5,51020
0,0,0,16,2025-03-12,16,59588
0,0,0,1,2025-03-12,1,198589
0,0,0,5,2025-03-12,5,199739
0,0,0,1,2025-03-12,1,208324
0,0,0,2,2025-03-12,2,209193
0,0,0,2,2025-03-12,2,210022
0,0,0,4,2025-03-13,4,51020
0,0,0,1,2025-03-13,1,51684
0,0,0,7,2025-03-13,7,198589
0,0,0,12,2025-03-13,12,199739
0,0,0,1,2025-03-13,1,203214
0,0,0,1,2025-03-13,1,205254
0,0,0,1,2025-03-13,1,207097
0,0,0,1,2025-03-13,1,208324
0,0,0,5,2025-03-13,5,209193
0,0,0,5,2025-03-13,5,210022
0,0,0,6,2025-03-14,6,51020
0,0,0,2,2025-03-14,2,51684
0,0,0,9,2025-03-14,9,199739
0,0,0,1,2025-03-14,1,205254
0,0,0,1,2025-03-14,1,207097
0,0,0,5,2025-03-14,5,209193
0,0,0,7,2025-03-14,7,210022
0,0,0,7,2025-03-15,7,51020
0,0,0,1,2025-03-15,1,51684
0,0,0,2,2025-03-15,2,59588
0,0,0,12,2025-03-15,12,198589
0,0,0,10,2025-03-15,10,199739
0,0,0,1,2025-03-15,1,205254
0,0,0,2,2025-03-15,2,209193
0,0,0,5,2025-03-15,5,210022
0,0,0,8,2025-03-16,8,51020
0,0,0,4,2025-03-16,4,198589
0,0,0,7,2025-03-16,7,199739
0,0,0,3,2025-03-16,3,205254
0,0,0,3,2025-03-16,3,209193
0,0,0,5,2025-03-16,5,210022
0,0,0,3,2025-03-17,3,13335
0,0,0,5,2025-03-17,5,51020
0,0,0,2,2025-03-17,2,59588
0,0,0,4,2025-03-17,4,198589
0,0,0,5,2025-03-17,5,199739
0,0,0,7,2025-03-17,7,203214
0,0,0,2,2025-03-17,2,205254
0,0,0,2,2025-03-17,2,209193
